#
#
#   Plasma Parameters
#    electron and ion temp [keV]:   0.1000D-01   0.1000D-01
#    number density nb   [cm^-3]:   0.2391D+24   0.2391D+24
#    mass array mb         [amu]:   0.5486D-03   0.2518D+01
#    mass array mb         [keV]:   0.5110D+03   0.2346D+07
#    charge array zb            :  -0.1000D+01   0.1000D+01
#
#
#   Projectile Parameters
#    charge      :   0.2000D+01
#    mass   [amu]:   0.4029D+01
#    mass   [keV]:   0.3753D+07
#    energy [keV]:   0.4000D+04
#  ne[cm^-3]    Te[keV]    Ti[keV]        ge       gi          etae         ze/2**1.5
#  0.2391D+24  0.1000D-01  0.1000D-01  0.2996D+01  0.2996D+01  0.1650D+01  0.4427D+00
# ab  =  0.5446E+02  0.2500E+06
# etab=  0.3160E+00  0.3160E+00
#    j    E_p [keV]       dedx_tot [MeV/mu-m]   dedx_i                dedx_e
   118   0.15733333E+04   0.2039756409486E+00   0.1161166681380E-03   0.2038595242805E+00
   119   0.15866667E+04   0.2029085510823E+00   0.1152159249566E-03   0.2027933351573E+00
   120   0.16000000E+04   0.2018527914220E+00   0.1143294517174E-03   0.2017384619703E+00
   121   0.16133333E+04   0.2008082024083E+00   0.1134569080278E-03   0.2006947455002E+00
   122   0.16266667E+04   0.1997746293015E+00   0.1125979643134E-03   0.1996620313372E+00
   123   0.16400000E+04   0.1987519164567E+00   0.1117524324453E-03   0.1986401640243E+00
   124   0.16533333E+04   0.1977399097149E+00   0.1109197316671E-03   0.1976289899832E+00
   125   0.16666667E+04   0.1967384597780E+00   0.1100997035345E-03   0.1966283600745E+00
   126   0.16800000E+04   0.1957474172167E+00   0.1092920576116E-03   0.1956381251590E+00
   127   0.16933333E+04   0.1947666336667E+00   0.1084965123330E-03   0.1946581371544E+00
   128   0.17066667E+04   0.1937959658718E+00   0.1077127946656E-03   0.1936882530772E+00
   129   0.17200000E+04   0.1928352697475E+00   0.1069406397871E-03   0.1927283291077E+00
   130   0.17333333E+04   0.1918844032557E+00   0.1061797907770E-03   0.1917782234649E+00
   131   0.17466667E+04   0.1909432291341E+00   0.1054299983234E-03   0.1908377991358E+00
   132   0.17600000E+04   0.1900116091647E+00   0.1046910204417E-03   0.1899069181443E+00
   133   0.17733333E+04   0.1890894079532E+00   0.1039628269509E-03   0.1889854451262E+00
   134   0.17866667E+04   0.1881764936388E+00   0.1032447665848E-03   0.1880732488722E+00
   135   0.18000000E+04   0.1872727344566E+00   0.1025368370679E-03   0.1871701976195E+00
   136   0.18133333E+04   0.1863780026742E+00   0.1018388230967E-03   0.1862761638511E+00
   137   0.18266667E+04   0.1854921676220E+00   0.1011505154674E-03   0.1853910171065E+00
   138   0.18400000E+04   0.1846140603292E+00   0.1004717108604E-03   0.1845135886183E+00
   139   0.18533333E+04   0.1837417608178E+00   0.9980221163406E-04   0.1836419586062E+00
   140   0.18666667E+04   0.1828781917680E+00   0.9914182562681E-04   0.1827790499424E+00
   141   0.18800000E+04   0.1820231759274E+00   0.9849036596749E-04   0.1819246855614E+00
   142   0.18933333E+04   0.1811763636159E+00   0.9784765089372E-04   0.1810785159650E+00
   143   0.19066667E+04   0.1803378707623E+00   0.9721350357766E-04   0.1802406572587E+00
   144   0.19200000E+04   0.1795076361673E+00   0.9658775195883E-04   0.1794110484154E+00
   145   0.19333333E+04   0.1786853784731E+00   0.9597034784205E-04   0.1785894081253E+00
   146   0.19466667E+04   0.1778708162645E+00   0.9536088237029E-04   0.1777754553822E+00
   147   0.19600000E+04   0.1770641812644E+00   0.9475932389127E-04   0.1769694219406E+00
   148   0.19733333E+04   0.1762651993267E+00   0.9416551784724E-04   0.1761710338088E+00
   149   0.19866667E+04   0.1754735934433E+00   0.9357931370907E-04   0.1753800141296E+00
   150   0.20000000E+04   0.1746898789602E+00   0.9300056484528E-04   0.1745968783953E+00
   151   0.20133333E+04   0.1739132240541E+00   0.9242912839602E-04   0.1738207949257E+00
   152   0.20266667E+04   0.1731438131664E+00   0.9186498465180E-04   0.1730519481817E+00
   153   0.20400000E+04   0.1723818209549E+00   0.9130775193526E-04   0.1722905132029E+00
   154   0.20533333E+04   0.1716268736259E+00   0.9075742489970E-04   0.1715361162010E+00
   155   0.20666667E+04   0.1708788753870E+00   0.9021387458412E-04   0.1707886615124E+00
   156   0.20800000E+04   0.1701377357342E+00   0.8967696503903E-04   0.1700480587691E+00
   157   0.20933333E+04   0.1694033595054E+00   0.8914659380910E-04   0.1693142129116E+00
   158   0.21066667E+04   0.1686756575495E+00   0.8862263128801E-04   0.1685870349183E+00
   159   0.21200000E+04   0.1679545401660E+00   0.8810496077849E-04   0.1678664352052E+00
   160   0.21333333E+04   0.1672399229568E+00   0.8759346841747E-04   0.1671523294884E+00
   161   0.21466667E+04   0.1665317163362E+00   0.8708804309033E-04   0.1664446282931E+00
   162   0.21600000E+04   0.1658301062517E+00   0.8658857634797E-04   0.1657435176753E+00
   163   0.21733333E+04   0.1651347400755E+00   0.8609496232702E-04   0.1650486451131E+00
   164   0.21866667E+04   0.1644452648674E+00   0.8560709767292E-04   0.1643596577697E+00
   165   0.22000000E+04   0.1637622987933E+00   0.8512488146565E-04   0.1636771739119E+00
   166   0.22133333E+04   0.1630619653686E+00   0.8464821514818E-04   0.1629773171534E+00
   167   0.22266667E+04   0.1623910035690E+00   0.8417717710333E-04   0.1623068263919E+00
   168   0.22400000E+04   0.1617258843795E+00   0.8371131461015E-04   0.1616421730649E+00
   169   0.22533333E+04   0.1610666949745E+00   0.8325072033156E-04   0.1609834442542E+00
   170   0.22666667E+04   0.1604130409399E+00   0.8279530446973E-04   0.1603302456354E+00
   171   0.22800000E+04   0.1597650091931E+00   0.8234497926903E-04   0.1596826642138E+00
   172   0.22933333E+04   0.1591226859902E+00   0.8189965895791E-04   0.1590407863312E+00
   173   0.23066667E+04   0.1584859437262E+00   0.8145925969295E-04   0.1584044844665E+00
   174   0.23200000E+04   0.1578545085050E+00   0.8102369950473E-04   0.1577734848055E+00
   175   0.23333333E+04   0.1572282574162E+00   0.8059289824556E-04   0.1571476645179E+00
   176   0.23466667E+04   0.1566076942702E+00   0.8016677753886E-04   0.1565275274926E+00
   177   0.23600000E+04   0.1559919265020E+00   0.7974526073038E-04   0.1559121812412E+00
   178   0.23733333E+04   0.1553817107101E+00   0.7932827284086E-04   0.1553023824373E+00
   179   0.23866667E+04   0.1547764202269E+00   0.7891574052036E-04   0.1546975044864E+00
   180   0.24000000E+04   0.1541760409218E+00   0.7850759200404E-04   0.1540975333298E+00
   181   0.24133333E+04   0.1535807164388E+00   0.7810375706941E-04   0.1535026126818E+00
   182   0.24266667E+04   0.1529901833242E+00   0.7770416699492E-04   0.1529124791572E+00
   183   0.24400000E+04   0.1524045814476E+00   0.7730886042176E-04   0.1523272725872E+00
   184   0.24533333E+04   0.1518241578186E+00   0.7691755450803E-04   0.1517472402641E+00
   185   0.24666667E+04   0.1512479409231E+00   0.7653029615208E-04   0.1511714106269E+00
   186   0.24800000E+04   0.1506764816970E+00   0.7614702223623E-04   0.1506003346748E+00
   187   0.24933333E+04   0.1501100248193E+00   0.7576767095632E-04   0.1500342571483E+00
   188   0.25066667E+04   0.1495476087409E+00   0.7539218178755E-04   0.1494722165591E+00
   189   0.25200000E+04   0.1489901836366E+00   0.7502049545138E-04   0.1489151631411E+00
   190   0.25333333E+04   0.1484367937097E+00   0.7465255388356E-04   0.1483621411559E+00
   191   0.25466667E+04   0.1478881848863E+00   0.7428830020297E-04   0.1478138965861E+00
   192   0.25600000E+04   0.1473436562860E+00   0.7392767868158E-04   0.1472697286073E+00
   193   0.25733333E+04   0.1468034082430E+00   0.7357074069993E-04   0.1467298375023E+00
   194   0.25866667E+04   0.1462676323904E+00   0.7321721585740E-04   0.1461944151746E+00
   195   0.26000000E+04   0.1457356433327E+00   0.7286716284543E-04   0.1456627761699E+00
   196   0.26133333E+04   0.1452081748570E+00   0.7252053025501E-04   0.1451356543268E+00
   197   0.26266667E+04   0.1446845423242E+00   0.7217726769312E-04   0.1446123650565E+00
   198   0.26400000E+04   0.1441651882234E+00   0.7183732575776E-04   0.1440933508977E+00
   199   0.26533333E+04   0.1436495769574E+00   0.7150065601356E-04   0.1435780763014E+00
   200   0.26666667E+04   0.1431381467260E+00   0.7116721096815E-04   0.1430669795150E+00
   201   0.26800000E+04   0.1426306126431E+00   0.7083694404926E-04   0.1425597756990E+00
   202   0.26933333E+04   0.1421269267629E+00   0.7050980958238E-04   0.1420564169533E+00
   203   0.27066667E+04   0.1416270474937E+00   0.7018576276920E-04   0.1415568617309E+00
   204   0.27200000E+04   0.1411309289655E+00   0.6986475966664E-04   0.1410610642059E+00
   205   0.27333333E+04   0.1406385307578E+00   0.6954675716633E-04   0.1405689840007E+00
   206   0.27466667E+04   0.1401498078495E+00   0.6923171297494E-04   0.1400805761365E+00
   207   0.27600000E+04   0.1396647225172E+00   0.6891958559484E-04   0.1395958029316E+00
   208   0.27733333E+04   0.1391832307189E+00   0.6861033430546E-04   0.1391146203846E+00
   209   0.27866667E+04   0.1387052945943E+00   0.6830391914505E-04   0.1386369906752E+00
   210   0.28000000E+04   0.1382308720327E+00   0.6800030089304E-04   0.1381628717318E+00
   211   0.28133333E+04   0.1377599263586E+00   0.6769944105286E-04   0.1376922269176E+00
   212   0.28266667E+04   0.1372926511884E+00   0.6740130183527E-04   0.1372252498865E+00
   213   0.28400000E+04   0.1368285411012E+00   0.6710584614208E-04   0.1367614352551E+00
   214   0.28533333E+04   0.1363680272575E+00   0.6681319501474E-04   0.1363012140624E+00
   215   0.28666667E+04   0.1359106021760E+00   0.6652299113110E-04   0.1358440791849E+00
