#
#
#   Plasma Parameters
#    electron and ion temp [keV]:   0.1000D-01   0.1000D-01
#    number density nb   [cm^-3]:   0.5979D+23   0.5979D+23
#    mass array mb         [amu]:   0.5486D-03   0.2518D+01
#    mass array mb         [keV]:   0.5110D+03   0.2346D+07
#    charge array zb            :  -0.1000D+01   0.1000D+01
#
#
#   Projectile Parameters
#    charge      :   0.2000D+01
#    mass   [amu]:   0.4029D+01
#    mass   [keV]:   0.3753D+07
#    energy [keV]:   0.4000D+04
#  ne[cm^-3]    Te[keV]    Ti[keV]        ge       gi          etae         ze/2**1.5
#  0.5979D+23  0.1000D-01  0.1000D-01  0.1498D+01  0.1498D+01  0.1650D+01  0.1107D+00
# ab  =  0.5446E+02  0.2500E+06
# etab=  0.3160E+00  0.3160E+00
#    j    E_p [keV]       dedx_tot [MeV/mu-m]   dedx_i                dedx_e
   251   0.33466667E+04   0.3508609092990E-01   0.1542154892113E-04   0.3507066938098E-01
   252   0.33600000E+04   0.3497835957546E-01   0.1536399652109E-04   0.3496299557894E-01
   253   0.33733333E+04   0.3487131602538E-01   0.1530688248135E-04   0.3485600914290E-01
   254   0.33866667E+04   0.3476499678544E-01   0.1525022417365E-04   0.3474974656127E-01
   255   0.34000000E+04   0.3465935123062E-01   0.1519397103263E-04   0.3464415725959E-01
   256   0.34133333E+04   0.3455441588774E-01   0.1513814140912E-04   0.3453927774633E-01
   257   0.34266667E+04   0.3445019417076E-01   0.1508273049569E-04   0.3443511144027E-01
   258   0.34400000E+04   0.3434664668172E-01   0.1502773355773E-04   0.3433161894816E-01
   259   0.34533333E+04   0.3424373567589E-01   0.1497314593212E-04   0.3422876252995E-01
   260   0.34666667E+04   0.3414146492804E-01   0.1491896302587E-04   0.3412654596501E-01
   261   0.34800000E+04   0.3403987018769E-01   0.1486518031480E-04   0.3402500500737E-01
   262   0.34933333E+04   0.3393895602801E-01   0.1481179334225E-04   0.3392414423467E-01
   263   0.35066667E+04   0.3383868397056E-01   0.1475879771781E-04   0.3382392517284E-01
   264   0.35200000E+04   0.3373901585659E-01   0.1470618911613E-04   0.3372430966748E-01
   265   0.35333333E+04   0.3363995675558E-01   0.1465396327566E-04   0.3362530279230E-01
   266   0.35466667E+04   0.3354162645128E-01   0.1460211599751E-04   0.3352702433528E-01
   267   0.35600000E+04   0.3344382920920E-01   0.1455064314431E-04   0.3342927856605E-01
   268   0.35733333E+04   0.3334662320087E-01   0.1449954063902E-04   0.3333212366023E-01
   269   0.35866667E+04   0.3325004402905E-01   0.1444880446390E-04   0.3323559522458E-01
   270   0.36000000E+04   0.3315414833650E-01   0.1439843065940E-04   0.3313974990584E-01
   271   0.36133333E+04   0.3305874238218E-01   0.1434841532311E-04   0.3304439396686E-01
   272   0.36266667E+04   0.3296402936122E-01   0.1429875460874E-04   0.3294973060661E-01
   273   0.36400000E+04   0.3286981593817E-01   0.1424944472508E-04   0.3285556649344E-01
   274   0.36533333E+04   0.3277621153849E-01   0.1420048193507E-04   0.3276201105656E-01
   275   0.36666667E+04   0.3268317925903E-01   0.1415186255476E-04   0.3266902739648E-01
   276   0.36800000E+04   0.3259068280833E-01   0.1410358295244E-04   0.3257657922538E-01
   277   0.36933333E+04   0.3249877838716E-01   0.1405563954766E-04   0.3248472274762E-01
   278   0.37066667E+04   0.3240743062997E-01   0.1400802881036E-04   0.3239342260116E-01
   279   0.37200000E+04   0.3231668522975E-01   0.1396074725994E-04   0.3230272448249E-01
   280   0.37333333E+04   0.3222640347532E-01   0.1391379146447E-04   0.3221248968385E-01
   281   0.37466667E+04   0.3213669369752E-01   0.1386715803976E-04   0.3212282653948E-01
   282   0.37600000E+04   0.3204751990104E-01   0.1382084364857E-04   0.3203369905739E-01
   283   0.37733333E+04   0.3195892782438E-01   0.1377484499978E-04   0.3194515297938E-01
   284   0.37866667E+04   0.3187078073600E-01   0.1372915884762E-04   0.3185705157715E-01
   285   0.38000000E+04   0.3178323639405E-01   0.1368381601046E-04   0.3176955257804E-01
   286   0.38133333E+04   0.3169615789687E-01   0.1363874421001E-04   0.3168251915266E-01
   287   0.38266667E+04   0.3160959100889E-01   0.1359397546691E-04   0.3159599703342E-01
   288   0.38400000E+04   0.3152350166535E-01   0.1354950670802E-04   0.3150995215864E-01
   289   0.38533333E+04   0.3143799588521E-01   0.1350533490185E-04   0.3142449055031E-01
   290   0.38666667E+04   0.3135293798133E-01   0.1346145705778E-04   0.3133947652427E-01
